id,title,text,author,source,date,label
1,Advances in AI Transform Healthcare,Or discussion seven eat eight law happy nearly. ,Paul Mitchell,"Bailey, Camacho and Smith",12/27/2023,REAL
2,NASA Announces New Moon Mission,First form out response good who. ,Deanna Graves,Ferguson-Mitchell,10/29/2023,REAL
3,Time Traveler Arrested for Insider Trading,Couple laugh program policy. ,Amy Oconnor,Torres-Kelley,5/24/2024,FAKE
4,Education Reform Bills Passed,Author so audience democratic class network other. ,Joshua Cox,"Wilson, Humphrey and Turner",8/25/2023,REAL
5,Scientists Confirm Earth is Flat,Throughout age young west here.,Alisha Gonzalez,"Morris, Paul and Monroe",5/1/2025,FAKE
6,Time Traveler Arrested for Insider Trading,Detail forget week skin without.,Stacey Brown,White-Wells,12/4/2024,FAKE
7,Mind Reading Technology Released Secretly,Affect what night artist front.,Erica Chen,"Pham, Hawkins and Lawson",12/1/2024,FAKE
8,Breakthrough in Cancer Research,His when section per range.,Vickie Ward,"Hall, Gordon and Smith",6/27/2024,REAL
9,Scientists Confirm Earth is Flat,Soon bill have foreign push woman this. ,Terri Cruz,Thomas Group,1/8/2025,FAKE
10,Electric Vehicles Sales Soar Worldwide,Economy education real box others.,Kerry Carr,Valenzuela-Trujillo,6/1/2024,REAL
11,NASA Announces New Moon Mission,Two American hold small. ,Vincent Byrd,Parsons LLC,3/19/2025,REAL
12,Electric Vehicles Sales Soar Worldwide,Create mention here sea step red rock.,Dustin Lynn,Martin-Bennett,6/16/2023,REAL
13,Advances in AI Transform Healthcare,Anyone office even guy hair meeting series.,Jamie Mack,"Foster, Reid and Ramirez",10/11/2024,REAL
14,Atlantis Found in Pacific Ocean,Common amount project fall why huge hot.,Curtis Harris,"Ward, George and Levy",11/23/2023,FAKE
15,Electric Vehicles Sales Soar Worldwide,Check value his bill culture hotel. ,Michael Hughes,Brooks Group,9/19/2023,REAL
16,Mind Reading Technology Released Secretly,Above already push serious. ,Michelle Knight,"Hernandez, Stone and Simon",9/26/2024,FAKE
